concept,instrument,class,year,trades,expR,totR,pf
A3 Donchian H4 Swing,EURUSD,forex,2015,75,0.10775680919117453,8.08176068933809,1.1694762579648257
A3 Donchian H4 Swing,EURUSD,forex,2016,78,-0.02164767018435607,-1.6885182743797733,0.9654788772024135
A3 Donchian H4 Swing,EURUSD,forex,2017,82,-0.17723625078997066,-14.533372564777594,0.736409288285794
A3 Donchian H4 Swing,EURUSD,forex,2018,86,-0.15944457631354506,-13.712233562964876,0.7314069367347197
A3 Donchian H4 Swing,EURUSD,forex,2019,81,-0.11698355149948302,-9.475667671458124,0.8234668932361328
A3 Donchian H4 Swing,EURUSD,forex,2020,84,-0.14713085026094164,-12.358991421919097,0.7583393141955945
TSMomentum,GBPUSD,forex,2015,34,-0.06137511976882927,-2.086754072140195,0.8852021660667285
TSMomentum,GBPUSD,forex,2016,28,0.03177607853506261,0.8897301989817532,1.0519018454240563
TSMomentum,GBPUSD,forex,2017,50,-0.28148075491658414,-14.074037745829207,0.6019064542400351
TSMomentum,GBPUSD,forex,2018,40,0.2001695518487036,8.006782073948145,1.360205590922151
TSMomentum,GBPUSD,forex,2019,50,0.18870726751513073,9.435363375756536,1.3451821524251948
TSMomentum,GBPUSD,forex,2020,50,0.01784737729371718,0.8923688646858591,1.0315186062831039
TurnOfMonth,GBPUSD,forex,2015,11,-0.3666812845671405,-4.033494130238545,0.2574407172210332
TurnOfMonth,GBPUSD,forex,2016,11,0.24823064251911847,2.730537067710303,1.7264222703666428
TurnOfMonth,GBPUSD,forex,2017,12,-0.2159270994237011,-2.5911251930844132,0.36728414509116586
TurnOfMonth,GBPUSD,forex,2018,12,-0.024869839070731148,-0.2984380688487738,0.9254535344839848
TurnOfMonth,GBPUSD,forex,2019,12,0.08680048993019875,1.041605879162385,1.292015641690143
TurnOfMonth,GBPUSD,forex,2020,12,0.20180422988831262,2.4216507586597515,2.229751240618953
ShortTermReversal,GBPUSD,forex,2015,30,0.1950874900779543,5.8526247023386295,1.4141029190785055
ShortTermReversal,GBPUSD,forex,2016,49,0.12513094819934278,6.131416461767796,1.264359572223966
ShortTermReversal,GBPUSD,forex,2017,41,-0.035927360849961516,-1.473021794848422,0.9305297067200456
ShortTermReversal,GBPUSD,forex,2018,52,0.09846370637635643,5.120112731570535,1.202608309470318
ShortTermReversal,GBPUSD,forex,2019,40,-0.20816698000121509,-8.326679200048604,0.6950390462669408
ShortTermReversal,GBPUSD,forex,2020,53,0.06251733513582222,3.3134187621985776,1.1263360778070342
VolContraction,GBPUSD,forex,2015,21,0.5826826457316326,12.236335560364285,2.3428195098423803
VolContraction,GBPUSD,forex,2016,25,-0.3821145216796172,-9.55286304199043,0.47528470851656596
VolContraction,GBPUSD,forex,2017,28,-0.0026369593237158023,-0.07383486106404247,0.9954536037320227
VolContraction,GBPUSD,forex,2018,26,-0.2906328460174625,-7.5564539964540245,0.5344569718247228
VolContraction,GBPUSD,forex,2019,28,0.14724023945688014,4.122726704792644,1.2903267572700166
VolContraction,GBPUSD,forex,2020,25,0.16291127349609374,4.072781837402344,1.334898324923803
A3 Donchian H4 Swing,GBPUSD,forex,2015,81,-0.15520653065549755,-12.571728983095301,0.758313610803955
A3 Donchian H4 Swing,GBPUSD,forex,2016,81,0.010453137120693522,0.8467041067761754,1.0180895531768468
A3 Donchian H4 Swing,GBPUSD,forex,2017,79,0.02758446687139649,2.179172882840323,1.046423121787614
