hold,side,min_surp,weight,hard_stop,trail_stop,trades,sharpe,cagr,maxdd,t
60,short,0.02,0.1,0.15,0.05,44,0.5998778711130155,0.004734036262588059,-0.024063495072648933,1.651394265395448
60,short,0.02,0.2,0.15,0.05,44,0.5998778711130155,0.0094270124748288,-0.04762271081309599,1.651394265395448
60,short,0.02,0.2,,0.05,44,0.5998778711130155,0.0094270124748288,-0.04762271081309599,1.651394265395448
40,short,0.02,0.2,0.15,0.05,44,0.5998778711130155,0.0094270124748288,-0.04762271081309599,1.651394265395448
60,short,0.02,0.1,,0.05,44,0.5998778711130155,0.004734036262588059,-0.024063495072648933,1.651394265395448
40,short,0.02,0.05,0.15,0.05,44,0.5998778711130155,0.002372101041153929,-0.012095340234999807,1.651394265395448
40,short,0.02,0.1,,0.05,44,0.5998778711130155,0.004734036262588059,-0.024063495072648933,1.651394265395448
40,short,0.02,0.2,,0.05,44,0.5998778711130155,0.0094270124748288,-0.04762271081309599,1.651394265395448
40,short,0.02,0.1,0.15,0.05,44,0.5998778711130155,0.004734036262588059,-0.024063495072648933,1.651394265395448
40,short,0.02,0.05,,0.05,44,0.5998778711130155,0.002372101041153929,-0.012095340234999807,1.651394265395448
90,short,0.02,0.05,0.15,0.05,44,0.5998778711130155,0.002372101041153929,-0.012095340234999807,1.651394265395448
60,short,0.02,0.05,0.15,0.05,44,0.5998778711130155,0.002372101041153929,-0.012095340234999807,1.651394265395448
90,short,0.02,0.1,,0.05,44,0.5998778711130155,0.004734036262588059,-0.024063495072648933,1.651394265395448
90,short,0.02,0.05,,0.05,44,0.5998778711130155,0.002372101041153929,-0.012095340234999807,1.651394265395448
90,short,0.02,0.1,0.15,0.05,44,0.5998778711130155,0.004734036262588059,-0.024063495072648933,1.651394265395448
90,short,0.02,0.2,0.15,0.05,44,0.5998778711130155,0.0094270124748288,-0.04762271081309599,1.651394265395448
90,long,0.1,0.1,0.1,,78,0.5983720725400112,0.027774118047989127,-0.0834580473911215,1.647248976415732
90,long,0.1,0.2,0.1,,78,0.5983720725400112,0.053940751496196926,-0.16485488313500818,1.647248976415732
90,long,0.1,0.05,0.1,,78,0.5983720725400112,0.014078977403449544,-0.04193671121243148,1.647248976415732
40,long,0.1,0.2,,,78,0.56291419244611,0.04446890094748879,-0.12709938658473974,1.5496375413722878
40,long,0.1,0.05,,,78,0.56291419244611,0.011595192486277384,-0.03306666906285849,1.5496375413722878
40,long,0.1,0.1,,,78,0.56291419244611,0.022880026474448423,-0.06526140369075484,1.5496375413722878
20,short,0.02,0.2,0.05,,44,0.5590878734103244,0.012412636517152187,-0.0666995915472044,1.5391041284601796
20,short,0.02,0.1,0.05,,44,0.5590878734103244,0.006251066191104382,-0.03379421634749946,1.5391041284601796
20,short,0.02,0.05,0.05,,44,0.5590878734103244,0.0031365790959894113,-0.017009078707007963,1.5391041284601796
20,short,0.0,0.2,0.05,,53,0.558611988412917,0.01324724087782747,-0.06669959154720406,1.537794072207816
20,short,0.0,0.05,0.05,,53,0.558611988412917,0.003350106917392015,-0.017009078707008074,1.537794072207816
